Date,Year,Country,Area,Location,Activity,Fatal (Y/N),Species ,Sex,Age
2009-11-30,2009,United States,California,Coastal Site 1,Surfing,N,Tiger shark,F,37
2022-09-12,2022,Mexico,Baja California,Coastal Site 15,Wading,N,Caribbean reef shark,M,
2019-04-16,2019,United States,South Carolina,Coastal Site 2,Playing in water,N,Great white shark,M,
2006-08-14,2006,Egypt,Red Sea,Coastal Site 3,Free diving,Y,Tiger shark,M,29
2016-06-17,2016,Brazil,Rio de Janeiro,Coastal Site 13,Snorkeling,N,Lemon shark,M,31
2025-07-12,2025,New Zealand,South Island,Coastal Site 13,Small boat,N,Tiger shark,F,
2003-07-19,2003,Australia,Queensland,Coastal Site 18,Swimming,N,Lemon shark,F,30
2015-09-17,2015,Australia,Western Australia,Coastal Site 4,Free diving,N,4 m white shark,M,14
2003-08-02,2003,United States,South Carolina,Coastal Site 3,Swimming,N,2 m bull shark,M,21
2001-09-06,2001,Australia,South Australia,Coastal Site 7,Playing in water,N,Caribbean reef shark,M,19
2024-11-14,2024,Brazil,Bahia,Coastal Site 15,Surfing,N,Oceanic whitetip shark,M,33
2004-05-13,2004,Réunion,Saint-Leu,Coastal Site 13,Bodyboarding,Y,Carcharhinus leucas,M,37
2025-06-12,2025,Brazil,Bahia,Coastal Site 14,Surfing near shore,N,Hammerhead shark,M,27
1993-03-31,1993,Bahamas,New Providence,Coastal Site 13,Swimming,N,Tiger shark,F,29
2019-06-11,2019,Australia,Queensland,Coastal Site 5,Standing in shallow water,N,Lemon shark,M,51
2024-10-30,2024,United States,North Carolina,Coastal Site 5,Spearfishing,Unknown,Blacktip shark,M,58
2009-06-08,2009,Egypt,Red Sea,Coastal Site 11,Canoeing,N,Tiger shark,M,
1999-01-07,1999,Australia,Queensland,Coastal Site 3,Spearfishing,N,Caribbean reef shark,M,51
2018-02-07,2018,Bahamas,Exuma,Coastal Site 13,Free diving,N,Oceanic whitetip shark,M,
2002-10-05,2002,Other,Coastal Region,Coastal Site 11,Surfing near shore,N,Tiger shark,F,
1994-06-16,1994,Egypt,Red Sea,Coastal Site 5,Swimming,N,Great white shark,M,10
1999-06-15,1999,Bahamas,Exuma,Coastal Site 4,Free diving,Y,Blue shark,F,
2019-07-15,2019,Other,Coastal Region,Coastal Site 7,Fishing,Y,3 m tiger shark,F,
2016-05-03,2016,Australia,South Australia,Coastal Site 18,Bathing,N,Unidentified reef shark,F,
2016-05-15,2016,New Zealand,North Island,Coastal Site 15,Net fishing,N,Reef shark,M,23
2008-06-14,2008,United States,South Carolina,Coastal Site 3,Scuba diving,N,Carcharhinus limbatus,M,
2011-11-12,2011,Brazil,Pernambuco,Coastal Site 14,Bodyboarding,N,Tiger shark,M,55
2008-12-07,2008,South Africa,KwaZulu-Natal,Coastal Site 14,Snorkeling,N,Carcharodon carcharias,M,45
1992-07-19,1992,Australia,Queensland,Coastal Site 3,Unknown water activity,N,Bull shark,M,19
1990-08-05,1990,Australia,Queensland,Coastal Site 13,Small boat,N,Blacktip shark,F,25
1999-01-10,1999,Australia,South Australia,Coastal Site 13,Wading,N,Carcharhinus leucas,M,53
2004-12-03,2004,United States,Florida,Coastal Site 11,Surfing,N,Reef shark,M,48
2004-10-11,2004,Brazil,Pernambuco,Coastal Site 15,Surfing near shore,N,Hammerhead shark,F,
2022-01-06,2022,Australia,South Australia,Coastal Site 11,Bodyboarding,N,Small shark,F,21
2016-08-31,2016,Australia,New South Wales,Coastal Site 17,Free diving,N,Carcharhinus limbatus,M,21
2007-08-17,2007,Mexico,Jalisco,Coastal Site 7,Bathing,N,Blacktip shark,M,5
2002-01-25,2002,Bahamas,Grand Bahama,Coastal Site 6,Standing in shallow water,N,Galeocerdo cuvier,F,30
1997-07-03,1997,United States,South Carolina,Coastal Site 18,Swimming,N,Unidentified reef shark,M,27
2016-05-14,2016,Egypt,Red Sea,Coastal Site 9,Fishing,N,Unidentified reef shark,M,
2023-06-06,2023,United States,Hawaii,Coastal Site 2,Bodyboarding,N,Carcharhinus leucas,M,
2022-09-08,2022,Bahamas,Grand Bahama,Coastal Site 13,Surfing near shore,N,Carcharodon carcharias,M,34
1999-08-28,1999,Australia,Queensland,Coastal Site 6,Snorkeling,N,Great hammerhead,M,18
2018-12-17,2018,Australia,Queensland,Coastal Site 5,Swimming,N,2 m bull shark,F,27
2022-03-26,2022,United States,California,Coastal Site 6,Snorkeling,N,Great white shark,M,52
2001-07-12,2001,Other,Coastal Region,Coastal Site 13,Surfing near shore,N,Great white shark,M,24
1992-01-12,1992,Other,Coastal Region,Coastal Site 4,Surfing near shore,N,3 m tiger shark,Unknown,23
2016-05-13,2016,Mexico,Quintana Roo,Coastal Site 3,Swimming,N,3 m tiger shark,M,31
1996-02-08,1996,United States,Hawaii,Coastal Site 10,Snorkeling,N,Whitetip reef shark,M,55
1996-03-05,1996,South Africa,Western Cape,Coastal Site 4,Surfing,N,Great white shark,F,14
2001-07-01,2001,Australia,Queensland,Coastal Site 3,Bodyboarding,N,,F,21
2017-03-04,2017,Australia,Western Australia,Coastal Site 13,Scuba diving,N,Bull shark,M,
2013-05-29,2013,Australia,South Australia,Coastal Site 5,Surfing,N,2 m bull shark,M,
2023-08-13,2023,United States,South Carolina,Coastal Site 8,Surfing near shore,N,Small shark,F,
2006-07-21,2006,South Africa,KwaZulu-Natal,Coastal Site 7,Bathing,Y,2 m bull shark,F,33
1997-10-15,1997,Réunion,Saint-Paul,Coastal Site 10,Playing in water,N,Unidentified reef shark,M,
2025-03-03,2025,Australia,Queensland,Coastal Site 7,Shore fishing,N,Bull shark,M,46
2020-07-02,2020,Brazil,Pernambuco,Coastal Site 4,Spearfishing,N,Blue shark,F,
2005-03-11,2005,Australia,Queensland,Coastal Site 3,Net fishing,N,Mako shark,M,47
2013-10-15,2013,Mexico,Quintana Roo,Coastal Site 9,Bathing,N,Blue shark,M,35
2003-08-07,2003,Egypt,Red Sea,Coastal Site 2,Snorkeling,N,Hammerhead shark,M,30
2012-05-01,2012,Bahamas,Grand Bahama,Coastal Site 15,Fell overboard,N,Small shark,M,37
2011-03-18,2011,Mexico,Quintana Roo,Coastal Site 11,Surfing,N,Shark involvement not confirmed,M,21
1991-10-26,1991,South Africa,KwaZulu-Natal,Coastal Site 14,Shore fishing,N,4 m white shark,M,
2007-07-18,2007,Australia,South Australia,Coastal Site 2,Bodyboarding,Unknown,4 m white shark,M,42
2022-01-27,2022,Australia,Western Australia,Coastal Site 14,Fishing,N,Hammerhead shark,M,8
2008-09-26,2008,Bahamas,Exuma,Coastal Site 12,Bathing,N,3 m tiger shark,F,
2024-04-11,2024,South Africa,Western Cape,Coastal Site 10,Spearfishing,N,Bull shark,F,15
2008-07-12,2008,New Zealand,South Island,Coastal Site 12,Bodyboarding,N,Galeocerdo cuvier,M,18
2021-03-19,2021,Egypt,South Sinai,Coastal Site 5,Bodyboarding,N,Bull shark,M,
2019-04-19,2019,Bahamas,Grand Bahama,Coastal Site 12,Surfing near shore,N,Reef shark,F,42
2006-11-13,2006,Bahamas,Grand Bahama,Coastal Site 12,Spearfishing,N,Carcharodon carcharias,F,33
2012-10-25,2012,Bahamas,New Providence,Coastal Site 11,Bodyboarding,N,Great white shark,M,47
2016-11-19,2016,United States,North Carolina,Coastal Site 4,Swimming,N,Unknown,M,24
2008-01-27,2008,United States,Florida,Coastal Site 14,Surfing near shore,Y,Tiger shark,M,5
2009-12-28,2009,South Africa,KwaZulu-Natal,Coastal Site 9,Scuba diving,N,Shark involvement not confirmed,Unknown,40
2000-11-13,2000,South Africa,KwaZulu-Natal,Coastal Site 6,Surfing near shore,N,Bull shark,Unknown,5
2004-11-11,2004,Brazil,Bahia,Coastal Site 16,Surfing near shore,N,4 m white shark,M,
2000-06-22,2000,United States,South Carolina,Coastal Site 11,Bodyboarding,N,Tiger shark,F,42
2016-03-18,2016,Brazil,Pernambuco,Coastal Site 18,Standing in shallow water,N,4 m white shark,M,15
2025-06-27,2025,Australia,South Australia,Coastal Site 9,Shore fishing,Y,Bull shark,M,51
2019-06-17,2019,United States,Florida,Coastal Site 3,Wading,N,3 m tiger shark,M,33
2003-03-13,2003,Australia,Western Australia,Coastal Site 7,Unknown,N,Lemon shark,M,36
2010-09-15,2010,United States,California,Coastal Site 9,Snorkeling,Y,2 m bull shark,F,
2024-12-29,2024,Bahamas,Grand Bahama,Coastal Site 18,Surfing,N,Whitetip reef shark,M,
2025-08-07,2025,United States,Hawaii,Coastal Site 10,Net fishing,N,Hammerhead shark,F,17
2016-09-04,2016,Brazil,Bahia,Coastal Site 14,Bodyboarding,N,Reef shark,M,
2001-08-04,2001,Brazil,Rio de Janeiro,Coastal Site 9,Snorkeling,N,Oceanic whitetip shark,M,
1999-01-31,1999,Bahamas,Exuma,Coastal Site 14,Snorkeling,N,4 m white shark,M,37
2015-06-25,2015,United States,Florida,Coastal Site 6,Bathing,N,Galeocerdo cuvier,F,41
2020-02-09,2020,United States,Florida,Coastal Site 16,Swimming,Unknown,Nurse shark,M,20
1997-08-13,1997,United States,South Carolina,Coastal Site 15,Bodyboarding,N,Great hammerhead,M,33
2008-04-19,2008,South Africa,Eastern Cape,Coastal Site 3,Surfing,N,Reef shark,M,21
1992-03-14,1992,Brazil,Pernambuco,Coastal Site 8,Bathing,N,Bull shark,F,27
2021-12-09,2021,Australia,South Australia,Coastal Site 8,Kayaking,N,Carcharodon carcharias,M,
2012-11-05,2012,Australia,New South Wales,Coastal Site 8,Spearfishing,N,Blue shark,M,34
2009-07-15,2009,Australia,Western Australia,Coastal Site 9,Kayaking,N,Carcharodon carcharias,Unknown,51
2004-01-24,2004,South Africa,Western Cape,Coastal Site 17,Surfing,N,Shark involvement not confirmed,M,12
2013-05-25,2013,Bahamas,New Providence,Coastal Site 15,Free diving,N,Shark involvement not confirmed,M,30
2022-06-03,2022,Australia,Western Australia,Coastal Site 3,Surfing,N,Galeocerdo cuvier,M,59
2017-05-13,2017,Australia,South Australia,Coastal Site 15,Surfing near shore,N,3 m tiger shark,M,30
2019-04-15,2019,United States,Hawaii,Coastal Site 3,Swimming,N,Carcharhinus limbatus,M,25
2013-10-16,2013,South Africa,KwaZulu-Natal,Coastal Site 12,Wading,Y,Carcharhinus leucas,M,45
1996-03-14,1996,Egypt,South Sinai,Coastal Site 2,Wading,N,Great white shark,F,
2020-09-20,2020,United States,South Carolina,Coastal Site 6,Surfing,Y,Blacktip shark,M,47
2010-07-01,2010,New Zealand,North Island,Coastal Site 15,Surfing,N,Blue shark,F,26
2002-11-28,2002,Mexico,Quintana Roo,Coastal Site 16,Scuba diving,N,Carcharhinus leucas,F,9
2007-09-06,2007,Other,Coastal Region,Coastal Site 4,Surfing near shore,N,Blacktip shark,M,58
2020-12-18,2020,South Africa,KwaZulu-Natal,Coastal Site 18,Net fishing,N,Great white shark,F,53
2006-01-04,2006,South Africa,KwaZulu-Natal,Coastal Site 7,Surfing near shore,N,Great white shark,F,
2022-11-25,2022,South Africa,KwaZulu-Natal,Coastal Site 16,Bathing,Y,Oceanic whitetip shark,M,47
2016-01-19,2016,United States,South Carolina,Coastal Site 18,Bodyboarding,N,Tiger shark,M,
2022-04-15,2022,Australia,Queensland,Coastal Site 11,Wading,N,Lemon shark,F,44
2003-09-07,2003,United States,Hawaii,Coastal Site 12,Scuba diving,N,2 m bull shark,F,8
2012-01-21,2012,South Africa,KwaZulu-Natal,Coastal Site 14,Standing in shallow water,N,Shark species not confirmed,M,43
2017-10-23,2017,Australia,South Australia,Coastal Site 3,Bathing,N,Whitetip reef shark,M,
2024-07-24,2024,Brazil,Bahia,Coastal Site 14,Bathing,N,Nurse shark,M,
2013-07-07,2013,United States,Florida,Coastal Site 4,Snorkeling,N,Mako shark,M,45
1995-12-03,1995,United States,North Carolina,Coastal Site 9,Swimming,Y,Shark species not confirmed,M,42
2014-04-12,2014,Brazil,Bahia,Coastal Site 18,Spearfishing,N,Carcharhinus limbatus,M,26
2001-05-18,2001,United States,Florida,Coastal Site 18,Snorkeling,N,Carcharhinus limbatus,M,31
2009-04-25,2009,United States,North Carolina,Coastal Site 7,Standing in shallow water,N,Blue shark,M,
2005-05-16,2005,United States,North Carolina,Coastal Site 8,Bodyboarding,N,Carcharhinus limbatus,M,35
2017-05-23,2017,Australia,Queensland,Coastal Site 17,Standing in shallow water,N,Blacktip shark,M,
2021-03-03,2021,Réunion,Saint-Leu,Coastal Site 8,Spearfishing,Unknown,Shark involvement not confirmed,M,
2010-01-01,2010,United States,Hawaii,Coastal Site 3,Unknown,N,3 m tiger shark,M,54
2006-03-21,2006,United States,Hawaii,Coastal Site 6,Bodyboarding,N,Shark species not confirmed,F,
2025-11-27,2025,United States,Florida,Coastal Site 16,Unknown water activity,N,Great white shark,F,9
2021-05-06,2021,United States,Hawaii,Coastal Site 11,Bodyboarding,N,2 m bull shark,M,33
1998-04-05,1998,Australia,Queensland,Coastal Site 8,Fishing,Unknown,Galeocerdo cuvier,Unknown,23
1996-11-17,1996,Réunion,Saint-Paul,Coastal Site 10,Spearfishing,N,Tiger shark,F,48
2016-09-09,2016,Mexico,Jalisco,Coastal Site 6,Shore fishing,N,Nurse shark,M,12
2010-02-09,2010,Egypt,Red Sea,Coastal Site 8,Bathing,N,Nurse shark,M,41
1998-07-07,1998,Brazil,Bahia,Coastal Site 2,Surfing,N,Unknown,M,
1991-10-04,1991,Bahamas,Exuma,Coastal Site 5,Surfing near shore,N,Great hammerhead,M,52
2019-03-31,2019,Australia,Western Australia,Coastal Site 12,Surfing,N,3 m tiger shark,M,34
2000-12-23,2000,Mexico,Quintana Roo,Coastal Site 6,Swimming,Y,Oceanic whitetip shark,M,34
2009-05-24,2009,Brazil,Pernambuco,Coastal Site 11,Swimming,Y,Great white shark,M,44
2004-07-18,2004,Bahamas,New Providence,Coastal Site 10,Wading,N,Lemon shark,M,34
2024-07-03,2024,Bahamas,Exuma,Coastal Site 12,Surfing,Y,Carcharhinus limbatus,M,29
2025-03-31,2025,Australia,Western Australia,Coastal Site 12,Surfing,Y,Blacktip shark,M,39
2023-11-21,2023,South Africa,Eastern Cape,Coastal Site 9,Surfing,Y,4 m white shark,M,
2023-07-18,2023,Bahamas,Exuma,Coastal Site 16,Shore fishing,N,Shark involvement not confirmed,F,18
2011-06-27,2011,United States,Florida,Coastal Site 7,Standing in shallow water,N,4 m white shark,F,5
1998-08-28,1998,Australia,Western Australia,Coastal Site 7,Snorkeling,N,Galeocerdo cuvier,Unknown,24
2008-05-18,2008,Brazil,Bahia,Coastal Site 12,Scuba diving,N,,M,29
2001-10-16,2001,Australia,New South Wales,Coastal Site 4,Shore fishing,N,Mako shark,M,34
2007-09-25,2007,Australia,Queensland,Coastal Site 2,Small boat,N,Nurse shark,M,48
2022-12-12,2022,Egypt,Red Sea,Coastal Site 10,Surfing,N,Tiger shark,F,7
2007-11-28,2007,Mexico,Jalisco,Coastal Site 16,Fishing,N,Oceanic whitetip shark,M,
2012-01-18,2012,Egypt,Red Sea,Coastal Site 15,Wading,N,4 m white shark,F,21
2016-06-02,2016,Brazil,Rio de Janeiro,Coastal Site 1,Swimming,N,Small shark,M,53
1993-10-31,1993,Australia,South Australia,Coastal Site 9,Standing in shallow water,N,Nurse shark,M,21
2020-02-15,2020,United States,Florida,Coastal Site 3,Surfing near shore,N,Carcharhinus leucas,M,18
2022-08-05,2022,Other,Coastal Region,Coastal Site 17,Bathing,N,Carcharodon carcharias,M,17
2011-04-07,2011,United States,South Carolina,Coastal Site 12,Standing in shallow water,N,Tiger shark,Unknown,24
2020-10-13,2020,United States,Hawaii,Coastal Site 9,Surfing,N,Tiger shark,F,44
2009-05-17,2009,United States,Florida,Coastal Site 2,Snorkeling,N,Galeocerdo cuvier,F,
2010-06-27,2010,Australia,New South Wales,Coastal Site 7,Free diving,N,Carcharhinus limbatus,F,38
1999-11-18,1999,Réunion,Saint-Leu,Coastal Site 10,Free diving,N,Lemon shark,M,15
2020-08-10,2020,South Africa,Eastern Cape,Coastal Site 5,Net fishing,N,Great white shark,F,12
2008-04-05,2008,Bahamas,Grand Bahama,Coastal Site 4,Standing in shallow water,N,Small shark,M,22
2000-06-27,2000,United States,California,Coastal Site 1,Surfing,Y,2 m bull shark,F,
2003-02-02,2003,United States,North Carolina,Coastal Site 9,Playing in water,N,Blacktip shark,M,27
2018-05-01,2018,Australia,Queensland,Coastal Site 1,Bathing,N,3 m tiger shark,M,20
2021-08-11,2021,Other,Coastal Region,Coastal Site 10,Surfing,N,Carcharodon carcharias,M,
2011-05-03,2011,Bahamas,Exuma,Coastal Site 11,Free diving,N,,F,
2006-11-02,2006,Mexico,Baja California,Coastal Site 18,Net fishing,N,2 m bull shark,M,
2005-05-11,2005,Mexico,Baja California,Coastal Site 10,Surfing,N,Blacktip shark,F,
1992-02-03,1992,Brazil,Rio de Janeiro,Coastal Site 4,Small boat,N,Carcharodon carcharias,M,
2009-10-11,2009,Australia,Western Australia,Coastal Site 9,Fell overboard,N,2 m bull shark,F,54
2017-06-16,2017,Australia,Queensland,Coastal Site 4,Fishing,N,Tiger shark,Unknown,20
2021-08-06,2021,South Africa,Western Cape,Coastal Site 18,Surfing near shore,N,Whitetip reef shark,M,37
2005-10-01,2005,Australia,Western Australia,Coastal Site 2,Bathing,N,Blue shark,M,13
2005-12-19,2005,United States,California,Coastal Site 15,Bathing,N,Nurse shark,M,33
2012-04-28,2012,United States,Florida,Coastal Site 10,Snorkeling,N,Hammerhead shark,M,5
2001-12-08,2001,Mexico,Quintana Roo,Coastal Site 9,Free diving,N,Small shark,M,53
2024-02-08,2024,United States,Florida,Coastal Site 9,Surfing,N,Blacktip shark,M,22
2013-05-15,2013,Mexico,Jalisco,Coastal Site 11,Unknown,N,Carcharhinus leucas,M,30
2009-11-12,2009,United States,California,Coastal Site 9,Bathing,N,3 m tiger shark,F,16
2014-05-17,2014,South Africa,KwaZulu-Natal,Coastal Site 2,Scuba diving,Y,Small shark,F,35
2020-08-09,2020,United States,Hawaii,Coastal Site 2,Fishing,N,Lemon shark,M,17
2008-05-19,2008,South Africa,Eastern Cape,Coastal Site 13,Surfing near shore,Y,Bull shark,M,46
2021-12-09,2021,Other,Coastal Region,Coastal Site 6,Bathing,N,Tiger shark,M,23
2021-03-13,2021,Bahamas,Exuma,Coastal Site 2,Bodyboarding,N,Unknown,M,37
1993-10-17,1993,South Africa,Western Cape,Coastal Site 11,Swimming,N,Carcharhinus limbatus,M,41
2019-08-08,2019,Other,Coastal Region,Coastal Site 14,Net fishing,N,Lemon shark,M,37
2021-06-10,2021,United States,North Carolina,Coastal Site 12,Standing in shallow water,Unknown,3 m tiger shark,Unknown,
2000-09-18,2000,Australia,New South Wales,Coastal Site 12,Surfing near shore,N,Bull shark,M,
2013-01-17,2013,Brazil,Bahia,Coastal Site 9,Kayaking,N,Carcharhinus leucas,F,71
2025-03-15,2025,Australia,South Australia,Coastal Site 4,Free diving,N,Carcharodon carcharias,M,21
1994-12-20,1994,Réunion,Saint-Leu,Coastal Site 3,Swimming,N,Carcharhinus limbatus,M,41
1993-10-18,1993,United States,North Carolina,Coastal Site 12,Surfing,N,Small shark,M,63
2007-12-04,2007,Australia,New South Wales,Coastal Site 10,Kayaking,N,Reef shark,M,39
2009-07-21,2009,South Africa,Western Cape,Coastal Site 16,Bathing,N,Nurse shark,M,5
2025-10-27,2025,Bahamas,New Providence,Coastal Site 10,Playing in water,N,Mako shark,F,18
2020-09-05,2020,United States,North Carolina,Coastal Site 5,Bodyboarding,N,Reef shark,M,8
2001-04-20,2001,United States,Hawaii,Coastal Site 17,Unknown,N,Great hammerhead,M,
2008-08-10,2008,United States,North Carolina,Coastal Site 17,Unknown,N,Reef shark,M,29
2025-04-30,2025,United States,Hawaii,Coastal Site 10,Surfing near shore,N,Blacktip shark,M,32
2018-04-20,2018,South Africa,KwaZulu-Natal,Coastal Site 4,Surfing near shore,N,Carcharhinus limbatus,M,29
1996-03-08,1996,Mexico,Baja California,Coastal Site 16,Snorkeling,Y,2 m bull shark,F,
2000-08-16,2000,United States,Florida,Coastal Site 10,Bodyboarding,N,Caribbean reef shark,M,
2004-12-24,2004,Australia,Queensland,Coastal Site 9,Free diving,N,Tiger shark,M,33
2015-10-28,2015,United States,Hawaii,Coastal Site 4,Free diving,N,Lemon shark,M,15
2001-02-01,2001,United States,South Carolina,Coastal Site 15,Swimming,N,Nurse shark,M,
2003-05-21,2003,United States,Hawaii,Coastal Site 8,Surfing near shore,N,Carcharhinus leucas,M,23
2018-09-10,2018,United States,South Carolina,Coastal Site 16,Wading,Unknown,Nurse shark,M,
2006-08-08,2006,Brazil,Bahia,Coastal Site 13,Spearfishing,N,Carcharodon carcharias,F,44
2004-08-28,2004,United States,Hawaii,Coastal Site 2,Spearfishing,N,4 m white shark,M,42
2024-10-21,2024,South Africa,Eastern Cape,Coastal Site 12,Standing in shallow water,N,2 m bull shark,F,
2024-01-10,2024,United States,Florida,Coastal Site 13,Standing in shallow water,N,Shortfin mako,M,45
1997-07-09,1997,Mexico,Baja California,Coastal Site 16,Net fishing,Y,Lemon shark,M,
2002-01-08,2002,Brazil,Bahia,Coastal Site 4,Bodyboarding,N,Bull shark,M,5
2019-10-27,2019,United States,South Carolina,Coastal Site 18,Shore fishing,N,Tiger shark,M,32
1999-10-27,1999,United States,California,Coastal Site 18,Fishing,N,Great white shark,F,59
2018-05-09,2018,Brazil,Rio de Janeiro,Coastal Site 13,Canoeing,N,Unidentified reef shark,M,
2016-10-14,2016,United States,North Carolina,Coastal Site 13,Swimming,N,Tiger shark,F,18
2021-04-13,2021,Other,Coastal Region,Coastal Site 1,Surfing near shore,N,2 m bull shark,M,22
2018-02-27,2018,United States,South Carolina,Coastal Site 9,Surfing,N,Hammerhead shark,M,34
2019-09-25,2019,United States,Florida,Coastal Site 13,Unknown water activity,N,Great white shark,Unknown,
2023-12-22,2023,Australia,Queensland,Coastal Site 7,Shore fishing,N,Carcharhinus leucas,M,20
2022-09-18,2022,United States,Hawaii,Coastal Site 10,Fell overboard,N,Bull shark,M,
2006-12-11,2006,United States,South Carolina,Coastal Site 15,Fishing,N,Galeocerdo cuvier,M,25
2016-03-18,2016,Australia,Western Australia,Coastal Site 8,Surfing,Unknown,Carcharodon carcharias,M,
1998-05-19,1998,Other,Coastal Region,Coastal Site 3,Spearfishing,N,Great hammerhead,M,27
2012-06-20,2012,United States,South Carolina,Coastal Site 7,Unknown water activity,N,Blacktip shark,M,
2016-03-13,2016,United States,California,Coastal Site 18,Swimming,Y,2 m bull shark,M,24
2015-12-21,2015,United States,Florida,Coastal Site 3,Wading,N,Mako shark,F,20
2012-04-30,2012,New Zealand,North Island,Coastal Site 14,Free diving,N,Great white shark,F,35
2019-03-23,2019,South Africa,Western Cape,Coastal Site 11,Bathing,N,Great hammerhead,M,30
2004-08-16,2004,Australia,South Australia,Coastal Site 2,Fishing,N,Reef shark,F,26
2002-01-09,2002,United States,Florida,Coastal Site 9,Surfing,N,4 m white shark,M,35
2021-02-06,2021,United States,California,Coastal Site 12,Small boat,N,Carcharhinus limbatus,M,31
2019-04-27,2019,United States,Hawaii,Coastal Site 15,Surfing near shore,N,Hammerhead shark,M,25
1991-11-05,1991,United States,South Carolina,Coastal Site 9,Bodyboarding,Y,Whitetip reef shark,F,30
1996-09-30,1996,United States,Florida,Coastal Site 10,Canoeing,N,4 m white shark,M,
1998-07-24,1998,United States,South Carolina,Coastal Site 12,Bodyboarding,N,Tiger shark,M,27
2023-09-13,2023,United States,Florida,Coastal Site 17,Free diving,N,Unidentified reef shark,M,27
2020-07-08,2020,South Africa,Eastern Cape,Coastal Site 16,Scuba diving,N,Galeocerdo cuvier,F,30
1996-12-29,1996,United States,Florida,Coastal Site 12,Swimming,N,2 m bull shark,F,41
